alim_code;alim_nom_fr;carbo;alim_image_url
13419;Jus de moubin, pur jus, prélevé à la Martinique;-;
13420;Jus de pamplemousse (variété locale), pur jus, prélevé à la Martinique;-;
13425;Mandarine commune, pulpe, au sirop, appertisée, non égouttée, prélevée à la Martinique;-;
13430;Melon, pulpe, cru, prélevé à la Martinique;-;
13431;Orange (variété locale), pulpe, prélevée à la Martinique;-;
13432;Orange amère, pulpe, crue, prélevée à la Martinique;-;
13433;Pastèque, pulpe, crue, prélevée à la Martinique;-;
13434;Pomme cajou, pulpe, crue, prélevée à la Martinique;-;
13435;Pomme cannelle,  pulpe, crue, prélevée à la Martinique;-;
13436;Pomme d'eau ou pomme malaca, pulpe, crue, prélevée à la Martinique;-;
13437;Pomme liane, pulpe, crue, prélevée à la Martinique;-;
13438;Prune de cythère, mûre, fruit entier, crue, prélevée à la Martinique;-;
13439;Prune de cythère, verte ou immature, fruit entier, crue, prélevée à la Martinique;-;
13440;Jacques, pulpe, cru, prélevé à la Martinique;-;
9010;Blé tendre entier ou froment, cru;-;
7354;Galette de maïs soufflé;-;
30102;Saucisse fumée, à cuire;-;
30125;Saucisse alsacienne fumée ou Gendarme;-;
30152;Merguez, pur boeuf, crue;-;
30153;Merguez, porc et boeuf, crue;-;
30154;Merguez, boeuf, mouton et porc, crue;-;
30177;Diot, cru;-;
30750;Saucisse viennoise, crue;-;
30766;Saucisse de bière;-;
30778;Saucisse de langue à la pistache;-;
8206;Pâté au jambon;-;
8934;Quenelle de poisson, cuite;-;
8380;Oeuf au jambon en gelée;-;
8801;Boudin blanc, à cuire;-;
30801;Saucisson de cheval type cervelas;-;
10000;Bigorneau, cuit;-;
10033;Crevette rose bouquet, cuite;-;
10044;Langoustine, bouillie/cuite à l'eau;-;
10057;Araignée de mer, cuite;-;
10061;Crevette pattes blanches, cuite;-;
10062;Crevette géante tigrée, cuite;-;
10064;Crevette royale rose, cuite;-;
34501;Grenouille, cuisse, grillée/poêlée;-;
26151;Oeufs de truite, semi-conserve;-;
12305;Fromage fondu en portions ou en cubes environ 8% MG;-;
18064;Boisson au thé, aromatisée, à teneur réduite en sucres;-;
11216;Sauce soja sucrée, préemballée;-;
11057;Vanille, gousse;-;
11085;Agar (algue), séché;-;
31016;Sucre blanc;99,8;https://images.unsplash.com/photo-1553747069-aefa5a5c9bad?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=701&q=80
31077;Fructose;99,8;https://img-3.journaldesfemmes.fr/tvoY78RFqLy-BTz4a0Ht7UnQiCc=/910x607/smart/e01a5cf1a7af4da2ba168c0f24aa4248/ccmcms-jdf/18460961.jpg
31044;Sucre vanillé;99;https://img.cuisineaz.com/660x660/2018-07-10/i140929-sucre-vanille-maison.jpeg
31076;Sucre allégé à l'aspartame;98,7;https://www.vivonsbien.com/valeur-nutritive/images/Sucre-allege-a-l-aspartame.jpg
31087;Édulcorant à base d'extrait de stévia;98;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fminceur.2Fnews-minceur.2Finfos-stevia-01245.2F8828688-4-fre-FR.2Fla-stevia-les-5-points-cles-essentiels-a-connaitre.2Ejpg/850x478/quality/90/crop-from/center/la-stevia-les-5-points-cles-essentiels-a-connaitre.jpeg
31017;Sucre roux;97,3;https://img-3.journaldesfemmes.fr/m6wu45a9k8uzceu5eL5WP0AK5YQ=/910x607/smart/d4c0118441b8498f82049a286ca0212b/ccmcms-jdf/15758968.jpg
